field sample ID,sample type,sample type code,year,river code,floodplain code/State RW,site code,trap #/HJ rep #,sample count,sample collection date,weeknum,dayofyear,person Iding,ID date,completed verification by,vial count,genus,species,male/female/nymph,total count
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 &5,1,17-Apr-17,16,107,KW,26-Apr-17,,5 OF 6 ,TAENIONEMA,SPP,NYMPH,15
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 &5,1,17-Apr-17,16,107,KW,26-Apr-17,,6 OF 6 ,TAENIONEMA,SPP,NYMPH,9
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 &5,1,17-Apr-17,16,107,KW,26-Apr-17,,1 OF 3,TAENIONEMA,SPP,FEMALE,15
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 &5,1,17-Apr-17,16,107,KW,26-Apr-17,,2 OF 3,TAENIONEMA,SPP,FEMALE,15
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 &5,1,17-Apr-17,16,107,KW,26-Apr-17,,3 OF 3,TAENIONEMA,SPP,FEMALE,6
PT17/KA/PR-6-7/001,PITFALL,PT,2017,KA,KA,PR,6 & 7,1,17-Apr-17,16,107,KW,26-Apr-17,,1 OF 1,TAENIONEMA,SPP,NYMPH,8
PT17/KA/PR-6-7/001,PITFALL,PT,2017,KA,KA,PR,6 & 7,1,17-Apr-17,16,107,KW,26-Apr-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,13
PT17/KA/PR-1-3/001,PITFALL,PT,2017,KA,KA,PR,"1, 2,& 3",1,17-Apr-17,16,107,KW,3-Oct-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,1
PT17/KA/PR-1-3/001,PITFALL,PT,2017,KA,KA,PR,"1, 2,& 3",1,17-Apr-17,16,107,KW,3-Oct-17,,1 OF 1,TAENIONEMA,SPP,NYMPH,8
PT17/KA/PR-1-3/001,PITFALL,PT,2017,KA,KA,PR,"1, 2,& 3",1,17-Apr-17,16,107,KW,3-Oct-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,1
SW17/KA/WO/002A,SWEEP,SW,2017,KA,KA,WO,,2,17-Apr-17,16,107,KW,10-Jan-20,,,Capnia,CONFUSA,MALE,3
SW17/KA/PR/002,SWEEP,SW,2017,KA,KA,PR,,2,17-Apr-17,16,107,KW,12-Jan-20,,,Capnia,CONFUSA,MALE,2
SW17/KA/PR/002,SWEEP,SW,2017,KA,KA,PR,,2,17-Apr-17,16,107,KW,12-Jan-20,,,Capnia,CONFUSA,female,8
SW17/KA/PR/002,SWEEP,SW,2017,KA,KA,PR,,2,17-Apr-17,16,107,KW,12-Jan-20,,,EUCAPNOPSIS,BREVICAUDA,MALE,1
SW17/KA/PR/002,SWEEP,SW,2017,KA,KA,PR,,2,17-Apr-17,16,107,KW,12-Jan-20,,,Taenionema,PACIFICUM,female,1
PT17/KA/PR-8-9/001,PITFALL,PT,2017,KA,KA,PR,8 & 9,1,17-Apr-17,16,107,MR,,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,3
SW17/MF/PTMD/001,SWEEP,SW,2017,MF,PT,unknown1,,1,18-Apr-17,16,108,KW,15-Dec-19,,,Taenionema,PACIFICUM,MALE,1
SW17/MF/PTMD/001,SWEEP,SW,2017,MF,PT,unknown1,,1,18-Apr-17,16,108,KW,15-Dec-19,,,EUCAPNOPSIS,BREVICAUDA,MALE,1
SW17/MF/PTMD/001,SWEEP,SW,2017,MF,PT,unknown1,,1,18-Apr-17,16,108,KW,15-Dec-19,,,Capnia,CONFUSA,Female,1
SW17/MFPO/001,SWEEP,SW,2017,MF,MF,PO,,1,18-Apr-17,16,108,KW,10-Jan-20,,,Isocapnia,INTEGRA,MALE,1
SW17/MFPO/001,SWEEP,SW,2017,MF,MF,PO,,1,18-Apr-17,16,108,KW,10-Jan-20,,,Isocapnia,INTEGRA,female,1
SW17/MFPO/001,SWEEP,SW,2017,MF,MF,PO,,1,18-Apr-17,16,108,KW,10-Jan-20,,,capnia,CONFUSA,MALE,2
SW17/MFPO/001,SWEEP,SW,2017,MF,MF,PO,,1,18-Apr-17,16,108,KW,10-Jan-20,,,capnia,CONFUSA,female,3
SW17/MFPO/001,SWEEP,SW,2017,MF,MF,PO,,1,18-Apr-17,16,108,KW,10-Jan-20,,,Taenionema,PACIFICA,MALE,1
SW17/MFPO/001,SWEEP,SW,2017,MF,MF,PO,,1,18-Apr-17,16,108,KW,10-Jan-20,,,Taenionema,PACIFICA,female,5
SW17/MFPO/001,SWEEP,SW,2017,MF,MF,PO,,1,18-Apr-17,16,108,KW,10-Jan-20,,,PROSTOIA,BESAMETSA,MALE,1
SW17/MFPO/001,SWEEP,SW,2017,MF,MF,PO,,1,18-Apr-17,16,108,KW,10-Jan-20,,,PROSTOIA,BESAMETSA,female,1
SW17/MFPO/001,SWEEP,SW,2017,MF,MF,PO,,1,18-Apr-17,16,108,KW,10-Jan-20,,,isocapnia,Crinita,female,1
SW17/MF/PTMD/001,SWEEP,SW,2017,MF,PT,unknown1,,1,18-Apr-17,16,108,KW,12-Jan-20,,,Taenionema,PACIFICUM,MALE,1
SW17/MF/PTMD/001,SWEEP,SW,2017,MF,PT,unknown1,,1,18-Apr-17,16,108,KW,12-Jan-20,,,EUCAPNOPSIS,BREVICAUDA,MALE,1
SW17/MF/PTMD/001,SWEEP,SW,2017,MF,PT,unknown1,,1,18-Apr-17,16,108,KW,12-Jan-20,,,capnia,CONFUSA,female,1
SW17/MF/PTMD/001,SWEEP,SW,2017,MF,PT,unknown1,,1,18-Apr-17,16,108,KW,12-Jan-20,,,PROSTOIA,BESAMETSA,MALE,1
SW17/MF/PTMD/001,SWEEP,SW,2017,MF,PT,unknown1,,1,18-Apr-17,16,108,KW,12-Jan-20,,,capnia,Barbata,MALE,1
SW17/MF/PTMD/001,SWEEP,SW,2017,MF,PT,unknown1,,1,18-Apr-17,16,108,KW,12-Jan-20,,,EUCAPNOPSIS,BREVICAUDA,female,2
RK17/NF/CBGF/001,ROCKPICK,RK,2017,NF,CB,GF,-,1,19-Apr-17,16,109,RM,1-Jun-17,,1 OF 1,SKWALA,AMERICANA,MALE,2
RK17/NF/CBGF/001,ROCKPICK,RK,2017,NF,CB,GF,-,1,19-Apr-17,16,109,RM,1-Jun-17,,1 OF 1,SKWALA,SPP,NYMPH,2
SW17/NF/CBGF/001,SWEEP,SW,2017,NF,CB,GF,-,1,19-Apr-17,16,109,RM,1-Jun-17,,1 OF 1,SKWALA,AMERICANA,FEMALE,1
RK17/NF/CBLC/001,ROCKPICK,RK,2017,NF,CB,LC,-,1,19-Apr-17,16,109,RM,1-Jun-17,,1 OF 1,SKWALA,AMERICANA,FEMALE,3
RK17/NF/CBLC/001,ROCKPICK,RK,2017,NF,CB,LC,-,1,19-Apr-17,16,109,RM,1-Jun-17,,1 OF 1,SKWALA,AMERICANA,MALE,2
SW17/NF/CBLC/001,SWEEP,SW,2017,NF,CB,LC,-,1,19-Apr-17,16,109,RM,1-Jun-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,4
SW17/NF/CBLC/001,SWEEP,SW,2017,NF,CB,LC,-,1,19-Apr-17,16,109,RM,1-Jun-17,,1 OF 1,TAENIONEMA,PACIFICUM,FEMALE,3
RK17/NF/WULW/001,ROCKPICK,RK,2017,NF,WU,LW,-,1,19-Apr-17,16,109,RM,1-Jun-17,,1 OF 1,CAPNIA,CONFUSA,MALE,1
RK17/NF/WULW/001,ROCKPICK,RK,2017,NF,WU,LW,-,1,19-Apr-17,16,109,RM,1-Jun-17,,1 OF 1,SKWALA,AMERICANA,MALE,1
RK17/NF/WUMD/001,ROCKPICK,RK,2017,NF,WU,MD,-,1,19-Apr-17,16,109,RM,1-Jun-17,,1 OF 1,SKWALA,AMERICANA,MALE,8
RK17/NF/CBGF/001,ROCKPICK,RK,2017,NF,CB,GF,,1,19-Apr-17,16,109,KW,15-Dec-19,,,Capnia,CONFUSA,MALE,2
SW17/NF/CBLC/001,SWEEP,SW,2017,NF,CB,LC,,1,19-Apr-17,16,109,KW,10-Jan-20,,,capnia,confusa,MALE,6
SW17/NF/CBLC/001,SWEEP,SW,2017,NF,CB,LC,,1,19-Apr-17,16,109,KW,10-Jan-20,,,capnia,CONFUSA,female,5
SW17/NF/CBLC/001,SWEEP,SW,2017,NF,CB,LC,,1,19-Apr-17,16,109,KW,10-Jan-20,,,paraleuctra,occidentalis,MALE,1
SW17/NF/CBLC/001,SWEEP,SW,2017,NF,CB,LC,,1,19-Apr-17,16,109,KW,10-Jan-20,,,paraleuctra,forcipata,MALE,1
SW17/NF/CBLC/001,SWEEP,SW,2017,NF,CB,LC,,1,19-Apr-17,16,109,KW,10-Jan-20,,,paraleuctra,forcipata,female,1
RK17/NF/WUMD/001,ROCKPICK,RK,2017,NF,WU,MD,,1,20-Apr-17,16,110,KW,12-Jan-20,,,Capnia,Confusa,MALE,1
PT17/KA/WO-2/001A-D,PITFALL,PT,2017,KA,KA,WO,2,,24-Apr-17,17,114,,2018,JG,1of 1 ,Isocapnia,INTEGRA,MALE,13
PT17/KA/WO-1/001A-E,PITFALL,PT,2017,KA,KA,WO,1,1,24-Apr-17,17,114,KW,26-Feb-17,,1 OF 1 ,CAPNIA,CONFUSA,FEMALE,2
PT17/KA/WO-1/001A-E,PITFALL,PT,2017,KA,KA,WO,1,1,24-Apr-17,17,114,KW,26-Feb-17,JG,1 OF 1,Isocapnia,GRANDIS,NYMPH,2
PT17/KA/WO-1/001A-E,PITFALL,PT,2017,KA,KA,WO,1,1,24-Apr-17,17,114,KW,26-Feb-17,JG,1 OF 1,Isocapnia,INTEGRA,MALE,5
PT17/KA/WO-1/001A-E,PITFALL,PT,2017,KA,KA,WO,1,1,24-Apr-17,17,114,KW,26-Feb-17,JG,1 OF 1,Isocapnia,INTEGRA,FEMALE,1
PT17/KA/WO-1/001A-E,PITFALL,PT,2017,KA,KA,WO,1,1,24-Apr-17,17,114,KW,26-Feb-17,,1 OF 1,SKWALA,AMERICANA,MALE,2
PT17/KA/WO-1/001A-E,PITFALL,PT,2017,KA,KA,WO,1,1,24-Apr-17,17,114,KW,26-Feb-17,,1 OF 1,SKWALA,AMERICANA,FEMALE,2
PT17/KA/WO-1/001A-E,PITFALL,PT,2017,KA,KA,WO,1,1,24-Apr-17,17,114,KW,26-Feb-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,8
PT17/KA/WO-1/001A-E,PITFALL,PT,2017,KA,KA,WO,1,1,24-Apr-17,17,114,KW,26-Feb-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,13
PT17/KA/WO-1/001A-E,PITFALL,PT,2017,KA,KA,WO,1,1,24-Apr-17,17,114,KW,26-Feb-17,,1 OF 3,TAENIONEMA,SPP,NYMPH,60
PT17/KA/WO-1/001A-E,PITFALL,PT,2017,KA,KA,WO,1,1,24-Apr-17,17,114,KW,26-Feb-17,,2 OF 3,TAENIONEMA,SPP,NYMPH,60
PT17/KA/WO-1/001A-E,PITFALL,PT,2017,KA,KA,WO,1,1,24-Apr-17,17,114,KW,26-Feb-17,,3 OF 3,TAENIONEMA,SPP,NYMPH,58
PT17/KA/WO-3/001A-C,PITFALL,PT,2017,KA,KA,WO,3,1,24-Apr-17,17,114,KW,1-Mar-17,JG,1 OF 1,Isocapnia,GRANDIS,NYMPH,1
PT17/KA/WO-3/001A-C,PITFALL,PT,2017,KA,KA,WO,3,1,24-Apr-17,17,114,KW,1-Mar-17,JG,1 of 1,Isocapnia,INTEGRA,MALE,7
PT17/KA/WO-3/001A-C,PITFALL,PT,2017,KA,KA,WO,3,1,24-Apr-17,17,114,KW,1-Mar-17,JG,1 of 1,Isocapnia,INTEGRA,NYMPH,1
PT17/KA/WO-3/001A-C,PITFALL,PT,2017,KA,KA,WO,3,1,24-Apr-17,17,114,KW,1-Mar-17,,1 OF 1,SKWALA,AMERICANA,MALE,1
PT17/KA/WO-3/001A-C,PITFALL,PT,2017,KA,KA,WO,3,1,24-Apr-17,17,114,KW,1-Mar-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,11
PT17/KA/WO-3/001A-C,PITFALL,PT,2017,KA,KA,WO,3,1,24-Apr-17,17,114,KW,1-Mar-17,,1 OF 1,TAENIONEMA,SPP,NYMPH,62
PT17/KA/WO-3/001A-C,PITFALL,PT,2017,KA,KA,WO,3,1,24-Apr-17,17,114,KW,1-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,22
PT17/KA/WO-8/001A-B,PITFALL,PT,2017,KA,KA,WO,8,1,24-Apr-17,17,114,KW,2-Mar-17,JG,1 OF 1,ISOCAPNIA,CRINITA,NYMPH,1
PT17/KA/WO-9/001,PITFALL,PT,2017,KA,KA,WO,9,1,24-Apr-17,17,114,KW,2-Mar-17,JG,1 OF 1,Isocapnia,INTEGRA,MALE,1
PT17/KA/WO-10/001,PITFALL,PT,2017,KA,KA,WO,10,1,24-Apr-17,17,114,KW,2-Mar-17,JG,1 OF 1,Isocapnia,INTEGRA,MALE,1
PT17/KA/WO-8/001A-B,PITFALL,PT,2017,KA,KA,WO,8,1,24-Apr-17,17,114,KW,2-Mar-17,JG,1 OF 1,Isocapnia,INTEGRA,MALE,5
PT17/KA/WO-8/001A-B,PITFALL,PT,2017,KA,KA,WO,8,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,Isocapnia,INTEGRA,NYMPH,1
PT17/KA/WO-7/001A-B,PITFALL,PT,2017,KA,KA,WO,7,1,24-Apr-17,17,114,KW,2-Mar-17,JG,1 OF 1,Isocapnia,INTEGRA,MALE,3
PT17/KA/WO-5/001,PITFALL,PT,2017,KA,KA,WO,5,1,24-Apr-17,17,114,KW,2-Mar-17,JG,1 OF 1,Isocapnia,INTEGRA,MALE,4
PT17/KA/WO-6/001,PITFALL,PT,2017,KA,KA,WO,6,1,24-Apr-17,17,114,KW,2-Mar-17,JG,1 OF 1,Isocapnia,INTEGRA,MALE,3
PT17/KA/WO-6/001,PITFALL,PT,2017,KA,KA,WO,6,1,24-Apr-17,17,114,KW,2-Mar-17,JG,1 OF 1,Isocapnia,INTEGRA,NYMPH,1
PT17/KA/WO-9/001,PITFALL,PT,2017,KA,KA,WO,9,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,7
PT17/KA/WO-8/001A-B,PITFALL,PT,2017,KA,KA,WO,8,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,11
PT17/KA/WO-7/001A-B,PITFALL,PT,2017,KA,KA,WO,7,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,11
PT17/KA/WO-5/001,PITFALL,PT,2017,KA,KA,WO,5,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,1
PT17/KA/WO-9/001,PITFALL,PT,2017,KA,KA,WO,9,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,NYMPH,1
PT17/KA/WO-9/001,PITFALL,PT,2017,KA,KA,WO,9,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,4
PT17/KA/WO-10/001,PITFALL,PT,2017,KA,KA,WO,10,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,NYMPH,2
PT17/KA/WO-10/001,PITFALL,PT,2017,KA,KA,WO,10,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,3
PT17/KA/WO-8/001A-B,PITFALL,PT,2017,KA,KA,WO,8,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,NYMPH,39
PT17/KA/WO-8/001A-B,PITFALL,PT,2017,KA,KA,WO,8,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,14
PT17/KA/WO-7/001A-B,PITFALL,PT,2017,KA,KA,WO,7,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,NYMPH,13
PT17/KA/WO-7/001A-B,PITFALL,PT,2017,KA,KA,WO,7,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,13
PT17/KA/WO-5/001,PITFALL,PT,2017,KA,KA,WO,5,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,NYMPH,7
PT17/KA/WO-5/001,PITFALL,PT,2017,KA,KA,WO,5,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,1
PT17/KA/WO-6/001,PITFALL,PT,2017,KA,KA,WO,6,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,NYMPH,23
PT17/KA/WO-6/001,PITFALL,PT,2017,KA,KA,WO,6,1,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,2
SW17/KA/WO/003,SWEEP,SW,2017,KA,KA,WO,-,3,24-Apr-17,17,114,KW,2-Mar-17,JG,1 OF 1,Isocapnia,INTEGRA,MALE,1
SW17/KA/WO/003,SWEEP,SW,2017,KA,KA,WO,-,3,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,6
SW17/KA/WO/003,SWEEP,SW,2017,KA,KA,WO,-,3,24-Apr-17,17,114,KW,2-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,4
PT17/KA/WO-4/001,PITFALL,PT,2017,KA,KA,WO,4,1,24-Apr-17,17,114,KW,3-Mar-17,,1 OF 1,CAPNIA,CONFUSA,FEMALE,2
PT17/KA/WO-4/001,PITFALL,PT,2017,KA,KA,WO,4,1,24-Apr-17,17,114,KW,3-Mar-17,JG,1 OF 1,Isocapnia,INTEGRA,MALE,2
PT17/KA/WO-4/001,PITFALL,PT,2017,KA,KA,WO,4,1,24-Apr-17,17,114,KW,3-Mar-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,9
PT17/KA/WO-4/001,PITFALL,PT,2017,KA,KA,WO,4,1,24-Apr-17,17,114,KW,3-Mar-17,,1 OF 1,TAENIONEMA,SPP,NYMPH,32
PT17/KA/WO-4/001,PITFALL,PT,2017,KA,KA,WO,4,1,24-Apr-17,17,114,KW,3-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,10
PT17/KA/PR-4-5/002A-H,PITFALL,PT,2017,KA,KA,PR,4&5,2,24-Apr-17,17,114,KW,5-Mar-17,,1 OF 1,SKWALA,AMERICANA,FEMALE,1
PT17/KA/PR-4-5/002A-H,PITFALL,PT,2017,KA,KA,PR,4&5,2,24-Apr-17,17,114,KW,5-Mar-17,,1 OF 1,SKWALA,SPP,NYMPH,1
PT17/KA/PR-6-7/002,PITFALL,PT,2017,KA,KA,PR,6 &7,2,24-Apr-17,17,114,KW,5-Mar-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,4
PT17/KA/PR-4-5/002A-H,PITFALL,PT,2017,KA,KA,PR,4&5,2,24-Apr-17,17,114,KW,5-Mar-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,29
PT17/KA/PR-6-7/002,PITFALL,PT,2017,KA,KA,PR,6 &7,2,24-Apr-17,17,114,KW,5-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,7
PT17/KA/PR-6-7/002,PITFALL,PT,2017,KA,KA,PR,6 &7,2,24-Apr-17,17,114,KW,5-Mar-17,,1 OF 1,TAENIONEMA,SPP,ADULT,1
PT17/KA/PR-4-5/002A-H,PITFALL,PT,2017,KA,KA,PR,4&5,2,24-Apr-17,17,114,KW,5-Mar-17,,1 OF 5,TAENIONEMA,SPP,NYMPH,55
PT17/KA/PR-4-5/002A-H,PITFALL,PT,2017,KA,KA,PR,4&5,2,24-Apr-17,17,114,KW,5-Mar-17,,2 OF 5 ,TAENIONEMA,SPP,NYMPH,55
PT17/KA/PR-4-5/002A-H,PITFALL,PT,2017,KA,KA,PR,4&5,2,24-Apr-17,17,114,KW,5-Mar-17,,3 OF 5,TAENIONEMA,SPP,NYMPH,55
PT17/KA/PR-4-5/002A-H,PITFALL,PT,2017,KA,KA,PR,4&5,2,24-Apr-17,17,114,KW,5-Mar-17,,4 OF 5,TAENIONEMA,SPP,NYMPH,55
PT17/KA/PR-4-5/002A-H,PITFALL,PT,2017,KA,KA,PR,4&5,2,24-Apr-17,17,114,KW,5-Mar-17,,5 OF 5,TAENIONEMA,SPP,NYMPH,48
PT17/KA/PR-4-5/002A-H,PITFALL,PT,2017,KA,KA,PR,4&5,2,24-Apr-17,17,114,KW,5-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,50
PT17/KA/PR-1-3/002,PITFALL,PT,2017,KA,KA,PR,"1, 2,& 3",2,24-Apr-17,17,114,KW,3-Oct-17,,1 OF 1,TAENIONEMA,SPP,NYMPH,17
PT17/KA/PR-1-3/002,PITFALL,PT,2017,KA,KA,PR,"1, 2,& 3",2,24-Apr-17,17,114,KW,3-Oct-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,4
PT17/KA/WO-2/001A-D,PITFALL,PT,2017,KA,KA,WO,-,2,24-Apr-17,17,114,KW,28-Feb-18,JG,1 OF 1,ISOCAPNIA,CRINITA,FEMALE,1
PT17/KA/WO-2/001A-D,PITFALL,PT,2017,KA,KA,WO,-,2,24-Apr-17,17,114,KW,28-Feb-18,JG,1 OF 1,ISOCAPNIA,CRINITA,MALE,1
PT17/KA/WO-2/001A-D,PITFALL,PT,2017,KA,KA,WO,-,2,24-Apr-17,17,114,KW,28-Feb-18,JG,1 OF 1,Isocapnia,GRANDIS,NYMPH,1
PT17/KA/WO-2/001A-D,PITFALL,PT,2017,KA,KA,WO,-,2,24-Apr-17,17,114,KW,28-Feb-18,,1 OF 1,Isocapnia,INTEGRA,MALE,13
PT17/KA/WO-2/001A-D,PITFALL,PT,2017,KA,KA,WO,-,2,24-Apr-17,17,114,KW,28-Feb-18,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,2
PT17/KA/WO-2/001A-D,PITFALL,PT,2017,KA,KA,WO,-,2,24-Apr-17,17,114,KW,28-Feb-18,,1  OF 2,TAENIONEMA,SPP,NYMPH,50
PT17/KA/WO-2/001A-D,PITFALL,PT,2017,KA,KA,WO,-,2,24-Apr-17,17,114,KW,28-Feb-18,,2 OF 2,TAENIONEMA,SPP,NYMPH,58
PT17/KA/WO-2/001A-D,PITFALL,PT,2017,KA,KA,WO,-,2,24-Apr-17,17,114,KW,28-Feb-18,,1 OF 1,TAENIONEMA,SPP,FEMALE,12
SW17/KA/PR/003A,SWEEP,SW,2017,KA,KA,PR,,3,24-Apr-17,17,114,KW,15-Dec-19,,,Taenionema,PACIFICUM,,
SW17/KA/PR/003C,SWEEP,SW,2017,KA,KA,PR,,3,24-Apr-17,17,114,KW,15-Dec-19,,,Taenionema,PACIFICUM,MALE,4
SW17/KA/PR/003C,SWEEP,SW,2017,KA,KA,PR,,3,24-Apr-17,17,114,KW,15-Dec-19,,,Taenionema,PACIFICUM,FEMALE,25
SW17/KA/PR/003C,SWEEP,SW,2017,KA,KA,PR,,3,24-Apr-17,17,114,KW,15-Dec-19,,,CAPNIA,CONFUSA,FEMALE,1
PT17/KA/WO-10/001,PITFALL,PT,2017,KA,KA,WO,10,1,24-Apr-17,17,114,KW,15-Dec-19,,,CAPNIIDAE,SPP,Nymph,1
SW17/WG-01/001,SWEEP,SW,2017,KA,KA,WO,,1,24-Apr-17,17,114,KW,15-Dec-19,,,Taenionema,PACIFICUM,MALE,17
SW17/WG-01/001,SWEEP,SW,2017,KA,KA,WO,,1,24-Apr-17,17,114,KW,15-Dec-19,,,Taenionema,PACIFICUM,female,8
SW17/WG-01/001,SWEEP,SW,2017,KA,KA,WO,,1,24-Apr-17,17,114,KW,15-Dec-19,,,CAPNIA,CONFUSA,MALE,47
